No,x,y,avg_M_x,avg_M_y,avg_M_z,avg_M_tot,z
185.0,1.0,0.0,-8.398,-18.931,-38.112,43.376,0
187.0,1.0,0.0,-8.968,-18.789,-38.276,43.572,0
188.0,1.0,0.0,-8.468,-16.88,-39.251,43.558,0
192.0,1.0,0.0,-9.267,-18.063,-38.27,43.321,0
194.0,1.0,0.0,-8.416,-18.204,-38.106,43.061,0
204.0,2.0,0.0,-6.813,-17.127,-41.731,45.621,0
215.0,2.0,0.0,-7.507,-17.57,-41.735,45.901,0
216.0,2.0,0.0,-6.805,-17.133,-41.235,45.169,0
217.0,2.0,0.0,-7.789,-17.572,-41.735,45.948,0
218.0,2.0,0.0,-8.061,-17.295,-40.741,44.988,0
220.0,2.0,0.0,-8.33,-18.022,-41.078,45.624,0
221.0,2.0,0.0,-7.468,-18.599,-40.918,45.562,0
225.0,2.0,0.0,-8.33,-18.022,-41.078,45.624,0
226.0,2.0,0.0,-7.639,-17.721,-41.406,45.682,0
229.0,2.0,0.0,-8.444,-18.184,-39.758,44.527,0
231.0,2.0,0.0,-7.639,-17.721,-41.406,45.682,0
233.0,2.0,0.0,-7.468,-18.599,-40.918,45.562,0
234.0,2.0,0.0,-7.482,-18.589,-41.744,46.304,0
236.0,2.0,0.0,-8.023,-18.466,-40.256,45.01,0
239.0,2.0,0.0,-7.058,-18.873,-42.077,46.652,0
241.0,2.0,0.0,-7.729,-18.615,-39.761,44.578,0
242.0,2.0,0.0,-7.711,-19.343,-39.768,44.89,0
243.0,2.0,0.0,-7.759,-17.879,-40.416,44.87,0
244.0,2.0,0.0,-8.136,-18.915,-39.268,44.34,0
245.0,2.0,0.0,-6.754,-18.599,-40.422,45.005,0
246.0,2.0,0.0,-8.283,-18.769,-39.432,44.45,0
247.0,2.0,0.0,-6.89,-18.46,-39.925,44.523,0
250.0,2.0,0.0,-6.741,-18.894,-40.094,44.833,0
251.0,2.0,0.0,-7.76,-18.164,-40.914,45.433,0
253.0,2.0,0.0,-6.199,-18.732,-41.084,45.576,0
254.0,2.0,0.0,-6.88,-19.469,-40.76,45.692,0
256.0,2.0,0.0,-7.308,-19.469,-41.09,46.053,0
257.0,2.0,0.0,-6.607,-18.745,-40.258,44.897,0
258.0,2.0,0.0,-7.273,-19.493,-39.108,44.298,0
260.0,2.0,0.0,-7.411,-20.068,-39.774,45.162,0
261.0,2.0,0.0,-6.745,-19.321,-40.924,45.755,0
263.0,2.0,0.0,-7.294,-19.479,-40.264,45.319,0
264.0,2.0,0.0,-7.749,-18.601,-40.918,45.61,0
265.0,2.0,0.0,-6.166,-19.469,-40.264,45.148,0
266.0,2.0,0.0,-7.03,-18.605,-40.092,44.754,0
267.0,2.0,0.0,-6.998,-19.343,-39.272,44.333,0
268.0,2.0,0.0,-6.878,-19.184,-40.262,45.126,0
269.0,2.0,0.0,-7.708,-18.916,-38.938,43.97,0
271.0,2.0,0.0,-7.591,-19.184,-40.758,45.682,0
272.0,2.0,0.0,-6.026,-19.325,-40.098,44.918,0
274.0,2.0,0.0,-7.452,-18.896,-40.425,45.241,0
277.0,2.0,0.0,-7.291,-18.765,-39.102,43.98,0
278.0,2.0,0.0,-8.005,-19.194,-40.262,45.316,0
282.0,2.0,0.0,-7.554,-19.782,-39.441,44.766,0
283.0,2.0,0.0,-8.005,-19.194,-40.262,45.316,0
285.0,2.0,0.0,-6.481,-18.591,-40.918,45.408,0
287.0,2.0,0.0,-7.711,-19.343,-39.768,44.89,0
290.0,2.0,0.0,-6.883,-18.751,-39.928,44.645,0
293.0,2.0,0.0,-6.601,-18.749,-39.928,44.602,0
299.0,2.0,0.0,-7.011,-19.62,-40.431,45.484,0
305.0,3.0,0.0,-7.609,-15.068,-44.026,47.151,0
306.0,3.0,0.0,-7.741,-14.503,-42.7,45.755,0
309.0,3.0,0.0,-7.609,-15.068,-44.026,47.151,0
310.0,3.0,0.0,-7.876,-15.08,-43.2,46.43,0
312.0,3.0,0.0,-7.869,-15.371,-43.203,46.526,0
314.0,3.0,0.0,-8.286,-15.379,-42.872,46.295,0
315.0,3.0,0.0,-7.144,-15.379,-42.046,45.337,0
316.0,3.0,0.0,-7.878,-15.365,-43.698,46.986,0
317.0,3.0,0.0,-7.878,-15.365,-43.698,46.986,0
322.0,3.0,0.0,-7.841,-15.676,-42.049,45.556,0
323.0,3.0,0.0,-8.151,-15.23,-43.036,46.374,0
325.0,3.0,0.0,-6.856,-15.381,-41.716,44.987,0
327.0,3.0,0.0,-7.603,-15.072,-43.696,46.843,0
329.0,3.0,0.0,-7.872,-14.653,-42.37,45.519,0
330.0,3.0,0.0,-6.724,-15.946,-43.042,46.391,0
333.0,3.0,0.0,-6.58,-15.375,-42.046,45.25,0
334.0,3.0,0.0,-7.723,-15.23,-42.706,45.994,0
338.0,3.0,0.0,-8.271,-15.389,-42.046,45.532,0
339.0,3.0,0.0,-7.151,-15.66,-42.875,46.202,0
340.0,3.0,0.0,-8.517,-16.846,-42.059,46.101,0
341.0,3.0,0.0,-7.682,-15.974,-41.391,45.026,0
342.0,3.0,0.0,-7.4,-16.544,-42.222,45.947,0
343.0,3.0,0.0,-6.298,-15.516,-42.213,45.413,0
345.0,3.0,0.0,-8.511,-16.85,-41.729,45.8,0
346.0,3.0,0.0,-7.827,-15.686,-41.223,44.796,0
348.0,3.0,0.0,-7.543,-16.114,-41.722,45.358,0
350.0,3.0,0.0,-7.682,-16.546,-42.222,45.994,0
352.0,3.0,0.0,-7.818,-16.408,-41.725,45.511,0
353.0,3.0,0.0,-8.12,-16.253,-42.715,46.418,0
354.0,3.0,0.0,-7.419,-15.529,-41.882,45.281,0
355.0,3.0,0.0,-7.012,-15.945,-43.373,46.74,0
357.0,3.0,0.0,-7.157,-15.657,-43.205,46.509,0
359.0,3.0,0.0,-7.825,-16.117,-41.722,45.406,0
360.0,3.0,0.0,-7.676,-16.55,-41.891,45.692,0
361.0,3.0,0.0,-8.097,-16.269,-41.393,45.207,0
362.0,3.0,0.0,-7.374,-16.562,-40.735,44.587,0
363.0,3.0,0.0,-8.366,-16.566,-41.065,45.064,0
364.0,3.0,0.0,-8.368,-17.28,-42.228,46.388,0
372.0,3.0,0.0,-7.644,-17.288,-41.072,45.213,0
375.0,3.0,0.0,-7.502,-16.858,-40.407,44.421,0
376.0,3.0,0.0,-7.647,-16.57,-40.239,44.184,0
377.0,3.0,0.0,-6.837,-16.396,-42.055,45.653,0
382.0,3.0,0.0,-8.072,-17.288,-41.402,45.587,0
383.0,3.0,0.0,-7.095,-17.13,-41.731,45.665,0
384.0,3.0,0.0,-7.386,-16.554,-41.396,45.19,0
387.0,3.0,0.0,-7.649,-17.284,-41.402,45.512,0
388.0,3.0,0.0,-7.088,-16.849,-40.903,44.801,0
389.0,3.0,0.0,-8.088,-16.991,-41.895,45.927,0
394.0,3.0,0.0,-6.813,-17.127,-41.731,45.621,0
397.0,3.0,0.0,-7.775,-17.582,-40.909,45.201,0
415.0,4.0,0.0,-5.763,-13.774,-41.372,43.983,0
416.0,4.0,0.0,-6.051,-13.057,-40.704,43.173,0
417.0,4.0,0.0,-5.496,-13.618,-42.031,44.523,0
419.0,4.0,0.0,-5.904,-13.632,-41.205,43.801,0
423.0,4.0,0.0,-5.935,-13.181,-42.358,44.757,0
424.0,4.0,0.0,-6.641,-12.9,-42.025,44.459,0
425.0,4.0,0.0,-5.788,-12.755,-41.363,43.67,0
426.0,4.0,0.0,-5.795,-13.037,-42.191,44.538,0
428.0,4.0,0.0,-6.91,-13.197,-41.697,44.278,0
429.0,4.0,0.0,-6.891,-13.64,-41.205,43.948,0
430.0,4.0,0.0,-6.892,-13.925,-41.703,44.504,0
431.0,4.0,0.0,-6.616,-13.919,-42.034,44.77,0
433.0,4.0,0.0,-6.177,-14.356,-41.707,44.539,0
434.0,4.0,0.0,-6.357,-13.472,-42.691,45.215,0
435.0,4.0,0.0,-6.154,-14.372,-40.385,43.306,0
436.0,4.0,0.0,-5.49,-13.622,-41.701,44.211,0
438.0,4.0,0.0,-6.334,-14.06,-42.2,44.929,0
439.0,4.0,0.0,-6.892,-13.925,-41.703,44.504,0
441.0,4.0,0.0,-6.197,-14.342,-42.863,45.622,0
443.0,4.0,0.0,-6.321,-13.783,-41.041,43.753,0
445.0,4.0,0.0,-6.07,-12.758,-41.363,43.709,0
447.0,4.0,0.0,-6.165,-13.935,-40.382,43.161,0
448.0,4.0,0.0,-6.887,-14.358,-42.037,44.953,0
449.0,4.0,0.0,-6.323,-14.497,-42.204,45.07,0
450.0,4.0,0.0,-6.899,-13.634,-41.701,44.412,0
451.0,4.0,0.0,-6.598,-14.647,-42.04,45.005,0
452.0,4.0,0.0,-6.045,-13.777,-41.372,44.022,0
454.0,4.0,0.0,-6.874,-14.653,-41.71,44.74,0
456.0,4.0,0.0,-6.751,-13.495,-41.039,43.725,0
457.0,4.0,0.0,-5.913,-13.626,-41.701,44.267,0
458.0,4.0,0.0,-6.577,-14.375,-40.385,43.369,0
459.0,4.0,0.0,-7.183,-13.206,-41.201,43.858,0
460.0,4.0,0.0,-6.335,-13.773,-41.867,44.527,0
461.0,4.0,0.0,-6.91,-13.197,-41.697,44.278,0
462.0,4.0,0.0,-6.344,-13.051,-41.365,43.837,0
463.0,4.0,0.0,-6.344,-13.051,-41.365,43.837,0
465.0,4.0,0.0,-5.745,-14.502,-41.378,44.22,0
466.0,4.0,0.0,-6.052,-14.058,-42.2,44.89,0
469.0,4.0,0.0,-5.458,-14.36,-40.881,43.672,0
471.0,4.0,0.0,-5.913,-13.626,-41.701,44.267,0
473.0,4.0,0.0,-6.86,-14.663,-40.884,43.972,0
474.0,4.0,0.0,-6.64,-13.187,-42.358,44.857,0
475.0,4.0,0.0,-6.319,-14.07,-41.374,44.156,0
476.0,4.0,0.0,-6.032,-14.072,-41.044,43.806,0
479.0,4.0,0.0,-5.784,-13.473,-42.195,44.67,0
480.0,4.0,0.0,-6.317,-14.501,-41.873,44.761,0
484.0,4.0,0.0,-6.623,-13.628,-42.031,44.679,0
490.0,4.0,0.0,-7.038,-14.066,-42.2,45.036,0
492.0,4.0,0.0,-7.045,-13.775,-42.198,44.945,0
495.0,4.0,0.0,-6.746,-14.5,-42.204,45.132,0
500.0,5.0,0.0,-5.276,-18.634,-36.457,41.282,0
509.0,5.0,0.0,-5.277,-18.92,-36.955,41.851,0
510.0,5.0,0.0,-5.86,-18.482,-37.447,42.169,0
512.0,5.0,0.0,-5.589,-18.043,-37.443,41.938,0
513.0,5.0,0.0,-4.596,-17.61,-36.448,40.739,0
514.0,5.0,0.0,-4.591,-18.186,-36.949,41.437,0
515.0,5.0,0.0,-6.0,-17.625,-36.118,40.634,0
517.0,5.0,0.0,-5.298,-18.906,-38.112,42.872,0
518.0,5.0,0.0,-4.876,-18.759,-37.945,42.609,0
526.0,5.0,0.0,-4.454,-17.323,-35.95,40.154,0
527.0,5.0,0.0,-6.568,-17.769,-36.615,41.226,0
528.0,5.0,0.0,-5.598,-18.037,-37.939,42.38,0
529.0,5.0,0.0,-5.165,-18.47,-37.943,42.514,0
531.0,5.0,0.0,-5.005,-17.623,-35.622,40.057,0
532.0,5.0,0.0,-5.858,-17.768,-36.285,40.824,0
533.0,5.0,0.0,-5.709,-18.201,-36.453,41.143,0
537.0,5.0,0.0,-5.165,-18.47,-37.943,42.514,0
539.0,5.0,0.0,-5.174,-17.748,-37.441,41.756,0
540.0,5.0,0.0,-6.216,-16.287,-38.585,42.34,0
541.0,5.0,0.0,-6.171,-17.319,-37.437,41.708,0
542.0,5.0,0.0,-5.185,-17.311,-37.437,41.57,0
543.0,5.0,0.0,-6.078,-16.427,-38.916,42.676,0
544.0,5.0,0.0,-5.916,-16.583,-37.926,41.814,0
545.0,5.0,0.0,-5.202,-16.011,-36.6,40.286,0
546.0,5.0,0.0,-7.029,-16.459,-36.934,41.042,0
547.0,5.0,0.0,-5.933,-15.283,-37.089,40.551,0
549.0,5.0,0.0,-6.651,-15.566,-38.248,41.827,0
550.0,5.0,0.0,-5.344,-16.441,-37.264,41.079,0
551.0,5.0,0.0,-6.771,-15.725,-37.258,41.004,0
552.0,5.0,0.0,-4.946,-15.562,-37.422,40.829,0
553.0,5.0,0.0,-6.524,-15.699,-39.24,42.765,0
554.0,5.0,0.0,-6.916,-16.009,-37.921,41.739,0
555.0,5.0,0.0,-5.382,-15.127,-37.583,40.869,0
560.0,5.0,0.0,-7.357,-15.285,-37.915,41.537,0
563.0,5.0,0.0,-6.791,-15.711,-38.415,42.055,0
565.0,5.0,0.0,-6.806,-15.129,-38.409,41.839,0
566.0,5.0,0.0,-7.078,-14.708,-37.249,40.669,0
568.0,5.0,0.0,-6.261,-14.825,-39.068,42.252,0
569.0,5.0,0.0,-6.972,-14.54,-39.065,42.263,0
570.0,5.0,0.0,-6.535,-14.69,-38.406,41.635,0
573.0,5.0,0.0,-6.84,-14.677,-39.727,42.9,0
574.0,5.0,0.0,-6.081,-15.709,-38.084,41.643,0
578.0,5.0,0.0,-6.926,-15.287,-37.42,41.011,0
579.0,5.0,0.0,-6.246,-14.835,-38.242,41.491,0
581.0,5.0,0.0,-7.395,-14.544,-39.065,42.336,0
583.0,5.0,0.0,-6.698,-14.819,-39.894,43.081,0
585.0,5.0,0.0,-6.113,-14.399,-38.073,41.161,0
589.0,5.0,0.0,-6.25,-14.117,-37.409,40.47,0
591.0,5.0,0.0,-6.687,-14.111,-38.235,41.301,0
599.0,5.0,0.0,-6.958,-14.55,-38.239,41.501,0
606.0,6.0,0.0,-3.76,-16.308,-35.115,38.9,0
613.0,6.0,0.0,-4.041,-16.454,-35.282,39.139,0
617.0,6.0,0.0,-4.162,-16.325,-33.959,37.909,0
619.0,6.0,0.0,-3.998,-17.628,-34.466,38.918,0
620.0,6.0,0.0,-4.054,-16.159,-35.61,39.314,0
621.0,6.0,0.0,-4.324,-16.169,-34.949,38.75,0
622.0,6.0,0.0,-4.299,-17.188,-34.958,39.191,0
624.0,6.0,0.0,-4.034,-16.173,-34.453,38.274,0
626.0,6.0,0.0,-4.041,-16.454,-35.282,39.139,0
627.0,6.0,0.0,-4.156,-17.045,-34.626,38.817,0
628.0,6.0,0.0,-4.449,-16.611,-34.622,38.658,0
630.0,6.0,0.0,-4.306,-16.897,-34.955,39.063,0
631.0,6.0,0.0,-4.438,-17.048,-34.626,38.85,0
632.0,6.0,0.0,-4.316,-16.175,-34.453,38.305,0
633.0,6.0,0.0,-5.135,-17.345,-34.629,39.069,0
634.0,6.0,0.0,-4.849,-17.059,-33.965,38.317,0
637.0,6.0,0.0,-4.137,-17.344,-33.968,38.363,0
639.0,6.0,0.0,-4.419,-17.347,-33.968,38.396,0
640.0,6.0,0.0,-4.562,-17.633,-34.466,38.983,0
643.0,6.0,0.0,-4.19,-16.593,-35.944,39.81,0
644.0,6.0,0.0,-5.162,-16.611,-35.118,39.19,0
646.0,6.0,0.0,-3.717,-18.055,-35.13,39.673,0
648.0,6.0,0.0,-4.318,-16.889,-35.616,39.653,0
649.0,6.0,0.0,-4.171,-17.036,-35.452,39.553,0
651.0,6.0,0.0,-4.001,-16.91,-33.634,37.858,0
652.0,6.0,0.0,-3.586,-17.188,-34.462,38.677,0
653.0,6.0,0.0,-3.76,-16.308,-35.115,38.9,0
654.0,6.0,0.0,-4.45,-16.324,-34.289,38.237,0
655.0,6.0,0.0,-4.176,-16.603,-35.118,39.069,0
658.0,6.0,0.0,-4.291,-17.194,-34.462,38.752,0
661.0,6.0,0.0,-3.583,-17.906,-35.294,39.739,0
664.0,6.0,0.0,-4.445,-17.329,-35.455,39.713,0
665.0,6.0,0.0,-3.994,-17.202,-33.636,37.99,0
669.0,6.0,0.0,-3.733,-17.042,-34.626,38.773,0
671.0,6.0,0.0,-4.145,-17.053,-33.965,38.231,0
672.0,6.0,0.0,-3.602,-16.891,-34.955,38.989,0
673.0,6.0,0.0,-3.613,-16.455,-34.951,38.8,0
674.0,6.0,0.0,-4.429,-17.77,-35.128,39.615,0
676.0,6.0,0.0,-4.273,-17.922,-34.468,39.084,0
677.0,6.0,0.0,-4.413,-18.067,-34.635,39.312,0
679.0,6.0,0.0,-5.002,-16.909,-34.46,38.709,0
680.0,6.0,0.0,-4.612,-16.168,-35.279,39.081,0
681.0,6.0,0.0,-4.581,-17.191,-34.958,39.224,0
684.0,6.0,0.0,-4.007,-17.623,-34.962,39.356,0
687.0,6.0,0.0,-4.312,-16.893,-35.286,39.358,0
688.0,6.0,0.0,-3.753,-16.599,-35.118,39.024,0
689.0,6.0,0.0,-4.563,-17.918,-34.964,39.552,0
691.0,6.0,0.0,-3.991,-17.92,-34.468,39.053,0
692.0,6.0,0.0,-3.991,-17.92,-34.468,39.053,0
693.0,6.0,0.0,-4.429,-17.77,-35.128,39.615,0
704.0,7.0,0.0,-8.449,-15.462,-36.099,40.17,0
711.0,7.0,0.0,-8.452,-14.744,-35.267,39.148,0
714.0,7.0,0.0,-8.442,-15.18,-35.271,39.316,0
718.0,7.0,0.0,-8.029,-14.884,-35.434,39.262,0
719.0,7.0,0.0,-8.297,-16.041,-36.27,40.517,0
721.0,7.0,0.0,-8.456,-15.743,-36.928,41.025,0
722.0,7.0,0.0,-8.297,-16.041,-36.27,40.517,0
723.0,7.0,0.0,-8.148,-16.474,-36.439,40.811,0
727.0,7.0,0.0,-8.153,-15.469,-35.273,39.37,0
730.0,7.0,0.0,-8.433,-15.759,-35.606,39.841,0
733.0,7.0,0.0,-7.588,-15.608,-35.44,39.461,0
734.0,7.0,0.0,-8.872,-15.465,-36.099,40.262,0
735.0,7.0,0.0,-7.726,-16.184,-36.106,40.314,0
736.0,7.0,0.0,-8.452,-14.744,-35.267,39.148,0
737.0,7.0,0.0,-7.445,-16.181,-36.106,40.26,0
738.0,7.0,0.0,-8.174,-15.741,-36.928,40.967,0
739.0,7.0,0.0,-8.972,-16.639,-35.449,40.174,0
741.0,7.0,0.0,-8.578,-16.615,-37.101,41.547,0
742.0,7.0,0.0,-8.419,-16.913,-36.442,41.049,0
745.0,7.0,0.0,-8.56,-15.626,-34.614,38.93,0
746.0,7.0,0.0,-7.711,-16.481,-35.613,39.992,0
749.0,7.0,0.0,-9.139,-15.477,-35.274,39.589,0
750.0,7.0,0.0,-8.448,-15.749,-36.432,40.58,0
752.0,7.0,0.0,-9.005,-15.329,-35.437,39.647,0
755.0,7.0,0.0,-7.442,-15.467,-34.943,38.931,0
756.0,7.0,0.0,-8.011,-15.612,-35.44,39.546,0
758.0,7.0,0.0,-7.609,-15.594,-36.596,40.501,0
759.0,7.0,0.0,-8.966,-16.643,-35.118,39.883,0
760.0,7.0,0.0,-8.573,-16.047,-35.939,40.282,0
761.0,7.0,0.0,-8.582,-15.325,-35.437,39.551,0
762.0,7.0,0.0,-8.868,-16.183,-36.932,41.286,0
763.0,7.0,0.0,-8.151,-15.756,-35.606,39.781,0
764.0,7.0,0.0,-9.273,-15.626,-35.11,39.533,0
765.0,7.0,0.0,-8.276,-16.054,-35.113,39.487,0
767.0,7.0,0.0,-8.008,-16.33,-36.272,40.576,0
768.0,7.0,0.0,-8.599,-16.029,-37.426,41.612,0
772.0,7.0,0.0,-9.118,-16.923,-36.112,40.91,0
775.0,7.0,0.0,-8.564,-16.625,-36.275,40.812,0
776.0,7.0,0.0,-8.301,-15.608,-35.935,40.049,0
778.0,7.0,0.0,-8.87,-15.752,-36.432,40.671,0
779.0,7.0,0.0,-9.143,-16.477,-36.934,41.463,0
780.0,7.0,0.0,-8.301,-15.608,-35.935,40.049,0
781.0,7.0,0.0,-8.557,-16.344,-35.446,39.96,0
782.0,7.0,0.0,-8.456,-15.743,-36.928,41.025,0
784.0,7.0,0.0,-8.427,-15.763,-35.276,39.546,0
788.0,7.0,0.0,-8.972,-16.639,-35.449,40.174,0
792.0,7.0,0.0,-8.166,-15.746,-36.432,40.521,0
793.0,7.0,0.0,-8.433,-15.759,-35.606,39.841,0
796.0,7.0,0.0,-8.838,-16.49,-35.613,40.228,0
797.0,7.0,0.0,-8.856,-15.762,-35.606,39.934,0
805.0,8.0,0.0,-9.233,-13.266,-37.567,40.897,0
808.0,8.0,0.0,-8.946,-13.268,-37.237,40.53,0
809.0,8.0,0.0,-9.069,-13.853,-37.077,40.606,0
813.0,8.0,0.0,-8.66,-13.555,-37.405,40.716,0
814.0,8.0,0.0,-9.102,-13.116,-37.896,41.122,0
815.0,8.0,0.0,-8.652,-13.846,-37.407,40.815,0
816.0,8.0,0.0,-8.365,-13.848,-37.077,40.453,0
817.0,8.0,0.0,-8.673,-13.832,-38.564,41.877,0
818.0,8.0,0.0,-8.673,-13.832,-38.564,41.877,0
821.0,8.0,0.0,-10.052,-14.58,-37.909,41.842,0
822.0,8.0,0.0,-10.196,-14.006,-37.243,41.076,0
823.0,8.0,0.0,-9.36,-13.134,-36.575,39.973,0
824.0,8.0,0.0,-9.246,-13.687,-38.893,42.255,0
826.0,8.0,0.0,-9.65,-13.274,-37.237,40.693,0
828.0,8.0,0.0,-9.794,-13.845,-38.233,41.826,0
829.0,8.0,0.0,-8.668,-13.549,-37.9,41.172,0
830.0,8.0,0.0,-10.063,-13.57,-37.074,40.742,0
832.0,8.0,0.0,-9.192,-14.726,-37.25,41.096,0
833.0,8.0,0.0,-9.364,-14.133,-38.236,41.826,0
834.0,8.0,0.0,-9.358,-14.137,-37.905,41.524,0
835.0,8.0,0.0,-9.945,-12.981,-37.565,40.97,0
